Date,Indego Trip Count
1/1/24,1562
1/2/24,1920
1/3/24,2369
1/4/24,2316
1/5/24,2030
1/6/24,806
1/7/24,1174
1/8/24,2300
1/9/24,1088
1/10/24,2463
1/11/24,2581
1/12/24,2205
1/13/24,1480
1/14/24,1290
1/15/24,1108
1/16/24,512
1/17/24,864
1/18/24,1249
1/19/24,329
1/20/24,454
1/21/24,651
1/22/24,1427
1/23/24,2135
1/24/24,2127
1/25/24,1870
1/26/24,2168
1/27/24,2008
1/28/24,843
1/29/24,2060
1/30/24,2318
1/31/24,2516
2/1/24,2511
2/2/24,2034
2/3/24,1864
2/4/24,1781
2/5/24,2306
2/6/24,2447
2/7/24,2740
2/8/24,2711
2/9/24,2895
2/10/24,2186
2/11/24,1826
2/12/24,2278
2/13/24,1419
2/14/24,2526
2/15/24,2447
2/16/24,2363
2/17/24,1180
2/18/24,1343
2/19/24,2121
2/20/24,2364
2/21/24,2718
2/22/24,2389
2/23/24,2461
2/24/24,1699
2/25/24,1598
2/26/24,2660
2/27/24,2463
2/28/24,2037
2/29/24,2506
3/1/24,2473
3/2/24,845
3/3/24,2801
3/4/24,2700
3/5/24,1956
3/6/24,1618
3/7/24,2822
3/8/24,2883
3/9/24,944
3/10/24,1697
3/11/24,2397
3/12/24,3490
3/13/24,3910
3/14/24,4093
3/15/24,3582
3/16/24,3228
3/17/24,3006
3/18/24,2910
3/19/24,2986
3/20/24,3040
3/21/24,2638
3/22/24,2688
3/23/24,864
3/24/24,2102
3/25/24,2750
3/26/24,3202
3/27/24,2156
3/28/24,2354
3/29/24,2760
3/30/24,2517
3/31/24,2262
4/1/24,1991
4/2/24,1251
4/3/24,1176
4/4/24,2870
4/5/24,3059
4/6/24,2555
4/7/24,2937
4/8/24,3443
4/9/24,4192
4/10/24,4169
4/11/24,3516
4/12/24,2984
4/13/24,2830
4/14/24,3649
4/15/24,4052
4/16/24,4489
4/17/24,3630
4/18/24,3562
4/19/24,3377
4/20/24,3713
4/21/24,2565
4/22/24,3394
4/23/24,3991
4/24/24,4262
4/25/24,4151
4/26/24,4162
4/27/24,3152
4/28/24,3978
4/29/24,4327
4/30/24,4740
5/1/24,5123
5/2/24,4853
5/3/24,4568
5/4/24,2352
5/5/24,2128
5/6/24,3931
5/7/24,4799
5/8/24,4760
5/9/24,4427
5/10/24,2230
5/11/24,3778
5/12/24,2056
5/13/24,4422
5/14/24,4178
5/15/24,3028
5/16/24,4387
5/17/24,4467
5/18/24,2589
5/19/24,4034
5/20/24,4511
5/21/24,5178
5/22/24,5067
5/23/24,4381
5/24/24,4733
5/25/24,4211
5/26/24,3910
5/27/24,2391
5/28/24,4924
5/29/24,4669
5/30/24,5220
5/31/24,5215
6/1/24,4941
6/2/24,4304
6/3/24,4671
6/4/24,5248
6/5/24,4800
6/6/24,5147
6/7/24,5008
6/8/24,4613
6/9/24,4431
6/10/24,4960
6/11/24,5291
6/12/24,5633
6/13/24,5432
6/14/24,4486
6/15/24,4510
6/16/24,3965
6/17/24,4591
6/18/24,4853
6/19/24,4538
6/20/24,4975
6/21/24,4522
6/22/24,3527
6/23/24,3025
6/24/24,4799
6/25/24,5062
6/26/24,5001
6/27/24,5149
6/28/24,5127
6/29/24,4462
6/30/24,2333
7/1/24,4721
7/2/24,5124
7/3/24,4917
7/4/24,3974
7/5/24,3797
7/6/24,3354
7/7/24,3411
7/8/24,4269
7/9/24,4622
7/10/24,4946
7/11/24,5211
7/12/24,3465
7/13/24,4128
7/14/24,3474
7/15/24,4377
7/16/24,4523
7/17/24,4696
7/18/24,4937
7/19/24,3690
7/20/24,4242
7/21/24,3871
7/22/24,3955
7/23/24,4928
7/24/24,4496
7/25/24,5065
7/26/24,5029
7/27/24,4309
7/28/24,3756
7/29/24,4507
7/30/24,5207
7/31/24,5263
8/1/24,4971
8/2/24,4104
8/3/24,3274
8/4/24,3298
8/5/24,4385
8/6/24,4248
8/7/24,4150
8/8/24,2705
8/9/24,2859
8/10/24,4315
8/11/24,3898
8/12/24,4616
8/13/24,5078
8/14/24,5184
8/15/24,5118
8/16/24,4763
8/17/24,3268
8/18/24,2892
8/19/24,4349
8/20/24,5038
8/21/24,5188
8/22/24,5194
8/23/24,4693
8/24/24,4453
8/25/24,3993
8/26/24,4673
8/27/24,4922
8/28/24,4850
8/29/24,4883
8/30/24,4484
8/31/24,4133
9/1/24,3783
9/2/24,3885
9/3/24,4993
9/4/24,5177
9/5/24,5324
9/6/24,5053
9/7/24,3796
9/8/24,4311
9/9/24,4789
9/10/24,5604
9/11/24,5460
9/12/24,5193
9/13/24,5063
9/14/24,4693
9/15/24,4246
9/16/24,5002
9/17/24,5163
9/18/24,5077
9/19/24,5429
9/20/24,5085
9/21/24,4643
9/22/24,4179
9/23/24,4346
9/24/24,4946
9/25/24,4186
9/26/24,5026
9/27/24,3560
9/28/24,2700
9/29/24,3187
9/30/24,4266
